industry,joblocation_address,"	numberofpositions",skills
Media / Entertainment / Internet,Chennai,1,ITES
Advertising / PR / MR / Event Management,Chennai,60,Marketing
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,4,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Aviation / Aerospace Firms,Bengaluru/Banglore,20,Production
Industrial Products / Heavy Machinery,Bengaluru/Banglore,2,Production
IT-Software / Software Services,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,2,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Other
IT-Software / Software Services,Bengaluru/Banglore,1,Accounts
IT-Software / Software Services,Bengaluru/Banglore,2,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,3,Executive Assistant
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Other
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Mobile
Recruitment / Staffing,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Industrial Products / Heavy Machinery,Bengaluru/Banglore,3,Engineering Design
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Financial Services
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Sales
Internet / Ecommerce,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Travel / Hotels / Restaurants / Airlines / Railways,Bengaluru/Banglore,2,Hotels
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,ITES
Pharma / Biotech / Clinical Research,Bengaluru/Banglore,1,Supply Chain
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Mobile
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Network Administration
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,700,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - QA & Testing
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Real Estate / Property,Bengaluru/Banglore,3,Architecture
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Sales
